time,observed_infected_mean
0,0.025000000000000012
1,0.05799999999999998
2,0.10325000000000002
3,0.1685
4,0.25325
5,0.35175000000000006
6,0.4595000000000001
7,0.55425
8,0.6173749999999999
9,0.6329999999999999
10,0.6177499999999998
11,0.5862499999999999
12,0.546375
13,0.508375
14,0.46749999999999997
15,0.432125
16,0.3973749999999999
17,0.365125
18,0.337125
19,0.3087499999999999
20,0.28537500000000005
21,0.26075000000000004
22,0.23975
23,0.22137499999999996
24,0.20437500000000006
25,0.190875
26,0.17712499999999992
27,0.16524999999999998
28,0.15399999999999997
29,0.140875
30,0.128625
31,0.11837500000000004
32,0.10900000000000003
33,0.10050000000000003
34,0.09175
35,0.08312500000000003
36,0.075875
37,0.069375
38,0.06312500000000001
39,0.05787499999999999
40,0.052750000000000005
41,0.049
42,0.04575
43,0.04225000000000001
44,0.03912500000000001
45,0.037375000000000005
46,0.03462500000000001
47,0.031000000000000007
48,0.028999999999999998
49,0.02637500000000001
50,0.024125000000000014
51,0.022375000000000013
52,0.02025000000000001
53,0.01850000000000001
54,0.016875000000000008
55,0.015375000000000008
56,0.013500000000000007
57,0.012750000000000008
58,0.011375000000000007
59,0.010625000000000004
60,0.010000000000000005
61,0.008625000000000002
62,0.00775
63,0.007124999999999999
64,0.007000000000000001
65,0.005875000000000001
66,0.0055000000000000005
67,0.005125
68,0.004500000000000001
69,0.00425
70,0.003999999999999999
71,0.0033750000000000004
72,0.003
73,0.002875
74,0.00275
75,0.0026249999999999997
76,0.0022500000000000003
77,0.0022500000000000003
78,0.002125
79,0.0020000000000000005
80,0.0017500000000000003
81,0.0016250000000000001
82,0.0016250000000000001
83,0.0015
84,0.001375
85,0.001375
86,0.001375
87,0.001125
88,0.001125
89,0.001
90,0.001
91,0.001
92,0.0008750000000000001
93,0.00075
94,0.0005
95,0.0005
96,0.0005
97,0.0005
98,0.0005
99,0.0005
100,0.0005
101,0.0005
102,0.000375
103,0.000375
104,0.000375
105,0.000375
106,0.000375
107,0.00025
108,0.00025
109,0.00025
110,0.00025
111,0.000125
112,0.000125
113,0.000125
114,0.000125
115,0.000125
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,0.0
129,0.0
130,0.0
131,0.0
132,0.0
133,0.0
134,0.0
135,0.0
136,0.0
137,0.0
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0
152,0.0
153,0.0
154,0.0
155,0.0
156,0.0
157,0.0
158,0.0
159,0.0
160,0.0
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,0.0
177,0.0
178,0.0
179,0.0
180,0.0
181,0.0
182,0.0
183,0.0
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0
200,0.0
